feedback_text,compound,sentiment
You might agree that I'm not impressed with the packaging.,neutral,-0.0139
Recently I noticed the update made the experience much smoother.,neutral,0.0
I'm not sure if I didn't expect to like it this much.,negative,-0.4717
To be honest I didn't expect to like it this much.,positive,0.2937
There's a reason why the update made the experience much smoother.,neutral,0.0
One thing I've seen it lacks basic features that should be standard.,neutral,0.0
Sometimes it's overpriced for what it actually delivers.,neutral,0.0
There's no doubt that it's one of the better options available right now.,positive,0.6136
Lately I'm not impressed with the packaging.,negative,-0.3724
Sometimes nothing works as advertised and it's frustrating.,negative,-0.4404
You might agree that it's one of the better options available right now.,positive,0.6597
I feel like the interface is confusing and cluttered.,positive,0.1531
I feel like this kind of quality is rare these days.,positive,0.3612
Lately the website could use a major redesign.,neutral,0.0
There's no doubt that the update made the experience much smoother.,positive,0.2755
Honestly nothing works as advertised and it's frustrating.,neutral,0.0258
Recently I noticed the interface is confusing and cluttered.,negative,-0.2263
There's no doubt that support was quick and helpful when I had an issue.,positive,0.7657
People often say this kind of quality is rare these days.,neutral,0.0
In my opinion it's overpriced for what it actually delivers.,neutral,0.0
Recently I noticed there's real value in what's being offered here.,positive,0.34
To be honest support was quick and helpful when I had an issue.,positive,0.8316
There's no doubt that nothing works as advertised and it's frustrating.,negative,-0.1999
Lately the update made the experience much smoother.,neutral,0.0
Have you noticed that it lacks basic features that should be standard.,neutral,0.0
There's no doubt that the instructions were clear and easy to follow.,positive,0.7657
I think it's one of the better options available right now.,positive,0.4404
Lately it's one of the better options available right now.,positive,0.4404
Sometimes the website could use a major redesign.,neutral,0.0
Recently I noticed this service exceeded my expectations in every way.,neutral,0.0
To be honest this service exceeded my expectations in every way.,positive,0.5106
Recently I noticed the product feels rushed and unpolished.,neutral,0.0
To be honest it feels like a beta version released too soon.,positive,0.7003
I'm not sure if performance has been inconsistent since the last patch.,negative,-0.2411
It's important to note that the update made the experience much smoother.,positive,0.2023
There's a reason why I'm already seeing improvements after just one use.,positive,0.3182
To be honest the product feels rushed and unpolished.,positive,0.5106
Recently I noticed it's overpriced for what it actually delivers.,neutral,0.0
There's a reason why the instructions were clear and easy to follow.,positive,0.6705
Have you noticed that the design is sleek but not very intuitive.,neutral,0.0
To be honest nothing works as advertised and it's frustrating.,positive,0.1027
To be honest it's one of the better options available right now.,positive,0.7351
You might agree that it feels like a beta version released too soon.,positive,0.6124
I feel like performance has been inconsistent since the last patch.,positive,0.3612
To be honest it's overpriced for what it actually delivers.,positive,0.5106
Recently I noticed everything worked right out of the box.,neutral,0.0
There's a reason why the interface is confusing and cluttered.,negative,-0.2263
Sometimes there's real value in what's being offered here.,positive,0.34
There's no doubt that the interface is confusing and cluttered.,positive,0.0541
You might agree that the design is sleek but not very intuitive.,positive,0.1901
In my opinion there's real value in what's being offered here.,positive,0.34
Recently I noticed support was quick and helpful when I had an issue.,positive,0.6705
People often say performance has been inconsistent since the last patch.,neutral,0.0
Sometimes this kind of quality is rare these days.,neutral,0.0
People often say the product feels rushed and unpolished.,neutral,0.0
Lately I'm already seeing improvements after just one use.,positive,0.3182
I think the interface is confusing and cluttered.,negative,-0.2263
I'm not sure if I'm already seeing improvements after just one use.,positive,0.0869
Sometimes the interface is confusing and cluttered.,negative,-0.2263
You might agree that it's overpriced for what it actually delivers.,positive,0.3612
You might agree that the update made the experience much smoother.,positive,0.3612
I feel like there's real value in what's being offered here.,positive,0.5994
I feel like the product feels rushed and unpolished.,positive,0.3612
I think there's real value in what's being offered here.,positive,0.34
I think nothing works as advertised and it's frustrating.,negative,-0.4404
I feel like I didn't expect to like it this much.,positive,0.1002
Honestly it lacks basic features that should be standard.,positive,0.4588
Recently I noticed I'm not impressed with the packaging.,negative,-0.3724
There's a reason why nothing works as advertised and it's frustrating.,negative,-0.4404
People often say the instructions were clear and easy to follow.,positive,0.6705
In recent times the design is sleek but not very intuitive.,neutral,0.0
People often say this service exceeded my expectations in every way.,neutral,0.0
One thing I've seen this service exceeded my expectations in every way.,neutral,0.0
In recent times the update made the experience much smoother.,neutral,0.0
One thing I've seen everything worked right out of the box.,neutral,0.0
It's important to note that it's one of the better options available right now.,positive,0.5719
Recently I noticed nothing works as advertised and it's frustrating.,negative,-0.4404
I feel like it's one of the better options available right now.,positive,0.6597
Have you noticed that the product feels rushed and unpolished.,neutral,0.0
In my opinion the instructions were clear and easy to follow.,positive,0.6705
To be honest this kind of quality is rare these days.,positive,0.5106
In my opinion support was quick and helpful when I had an issue.,positive,0.6705
To be honest the interface is confusing and cluttered.,positive,0.34
Recently I noticed it's one of the better options available right now.,positive,0.4404
One thing I've seen performance has been inconsistent since the last patch.,neutral,0.0
Recently I noticed this kind of quality is rare these days.,neutral,0.0
There's no doubt that I didn't expect to like it this much.,neutral,0.0
In recent times everything worked right out of the box.,neutral,0.0
It's important to note that this kind of quality is rare these days.,positive,0.2023
I'm not sure if everything worked right out of the box.,negative,-0.2411
Lately it lacks basic features that should be standard.,neutral,0.0
People often say the website could use a major redesign.,neutral,0.0
There's a reason why it's overpriced for what it actually delivers.,neutral,0.0
I feel like the instructions were clear and easy to follow.,positive,0.7906
There's no doubt that this service exceeded my expectations in every way.,positive,0.2755
People often say the interface is confusing and cluttered.,negative,-0.2263
People often say I'm already seeing improvements after just one use.,positive,0.3182
You might agree that this service exceeded my expectations in every way.,positive,0.3612
I'm not sure if the interface is confusing and cluttered.,negative,-0.4333
In recent times there's real value in what's being offered here.,positive,0.34
